,iteration,loss,train_time,params,status
10,11,-0.8925391270923065,33.017494916915894,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 3.9368020595121243, 'gpu_id': 0, 'learning_rate': 0.007983345961740806, 'max_delta_step': 1.0, 'max_depth': 13, 'min_child_weight': 14.0, 'n_estimators': 800, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6027555001673061, 'reg_lambda': 0.651310151328997, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
11,12,-0.8937929952075591,23.18917679786682,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 3.609367898544715, 'gpu_id': 0, 'learning_rate': 0.030346368603242604, 'max_delta_step': 1.0, 'max_depth': 3, 'min_child_weight': 12.0, 'n_estimators': 900, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.9051918499262694, 'reg_lambda': 0.7543490250901114, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
12,13,-0.8930654403330285,46.458526372909546,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 0.5606746806464695, 'gpu_id': 0, 'learning_rate': 0.02213141750597132, 'max_delta_step': 3.0, 'max_depth': 10, 'min_child_weight': 3.0, 'n_estimators': 400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.06169851689609984, 'reg_lambda': 0.5311537200172665, 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
13,14,-0.8937501229231515,23.766419172286987,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 2.299162361846141, 'gpu_id': 0, 'learning_rate': 0.013390019915780777, 'max_delta_step': 2.0, 'max_depth': 13, 'min_child_weight': 6.0, 'n_estimators': 400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.8816345322903216, 'reg_lambda': 0.9368578147818825, 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
14,15,-0.8948561027616599,18.54480504989624,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 1.0, 'eval_metric': 'auc', 'gamma': 2.8594216039268847, 'gpu_id': 0, 'learning_rate': 0.05196509965812757, 'max_delta_step': 4.0, 'max_depth': 8, 'min_child_weight': 11.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.1870047373001723, 'reg_lambda': 0.0025233741034133006, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
15,16,-0.8927082913786606,21.472822666168213,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 3.385911719453972, 'gpu_id': 0, 'learning_rate': 0.03868019318395464, 'max_delta_step': 3.0, 'max_depth': 9, 'min_child_weight': 3.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.0063603324524676985, 'reg_lambda': 0.9327748260849715, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
16,17,-0.8934057681693169,24.70975971221924,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 3.7473971012619405, 'gpu_id': 0, 'learning_rate': 0.09488403222227831, 'max_delta_step': 4.0, 'max_depth': 11, 'min_child_weight': 14.0, 'n_estimators': 1000, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.9853158834143788, 'reg_lambda': 0.06362334538546144, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
17,18,-0.8923672349799444,32.32988452911377,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 1.0442555655177168, 'gpu_id': 0, 'learning_rate': 0.023323698990082263, 'max_delta_step': 5.0, 'max_depth': 4, 'min_child_weight': 5.0, 'n_estimators': 600, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5897258217074273, 'reg_lambda': 0.8568679919591276, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
18,19,-0.8933237444242336,37.8173611164093,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 3.2395058859459933, 'gpu_id': 0, 'learning_rate': 0.009691794815569798, 'max_delta_step': 3.0, 'max_depth': 14, 'min_child_weight': 6.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.9583171010710307, 'reg_lambda': 0.9157003458032186, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
19,20,-0.8931983825338004,8.750946998596191,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 1.8708964595097197, 'gpu_id': 0, 'learning_rate': 0.03172867350883126, 'max_delta_step': 3.0, 'max_depth': 3, 'min_child_weight': 7.0, 'n_estimators': 200, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6977935166366647, 'reg_lambda': 0.5801918856709003, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x0000018451BC6310>}",ok
